gender,nationality,place_of_birth,education_stage,grade,classroom_id,subject,semester,parent_involved,raised_hands,resource_visits,announcements_viewed,discussion_participation,parent_answered_survey,parent_school_satisfaction,absence_category,pass_fail_status
female,jordan,jordan,lowerschool,g-04,a,science,first,father,49,36,32,44,no,bad,high,fail
female,jordan,jordan,lowerschool,g-04,a,science,second,father,42,24,12,24,no,bad,high,fail
female,palestine,palestine,lowerschool,g-04,a,science,first,mum,90,86,82,74,yes,good,low,pass
female,palestine,palestine,lowerschool,g-04,a,science,second,mum,62,64,72,84,yes,good,low,pass
male,iraq,iraq,lowerschool,g-04,a,science,first,father,90,86,82,74,yes,good,high,pass
male,iraq,iraq,lowerschool,g-04,a,science,second,father,62,64,72,84,yes,good,high,pass
female,jordan,jordan,lowerschool,g-04,a,science,first,mum,98,87,86,84,no,good,low,pass
female,jordan,jordan,lowerschool,g-04,a,science,second,mum,72,74,82,89,no,good,low,pass
male,jordan,jordan,lowerschool,g-04,a,science,first,father,18,17,26,34,no,good,high,pass
male,jordan,jordan,lowerschool,g-04,a,science,second,father,32,14,32,29,no,good,high,pass
male,jordan,jordan,lowerschool,g-04,a,science,first,father,10,12,20,13,no,bad,high,fail
male,jordan,jordan,lowerschool,g-04,a,science,second,father,22,34,15,9,no,bad,high,fail
female,jordan,jordan,lowerschool,g-04,b,science,first,mum,11,20,21,23,no,bad,low,pass
female,jordan,jordan,lowerschool,g-04,b,science,second,mum,12,44,25,39,no,bad,low,pass
female,jordan,jordan,lowerschool,g-04,b,science,first,father,15,50,24,43,yes,bad,low,pass
female,jordan,jordan,lowerschool,g-04,b,science,second,father,32,44,29,89,yes,bad,low,pass
male,jordan,jordan,lowerschool,g-04,b,science,first,mum,65,59,74,83,yes,good,low,pass
male,jordan,jordan,lowerschool,g-04,b,science,second,mum,72,64,59,89,yes,good,low,pass
male,palestine,jordan,lowerschool,g-04,b,science,first,mum,95,57,74,89,yes,good,high,pass
male,palestine,jordan,lowerschool,g-04,b,science,second,mum,82,84,79,79,yes,good,high,pass
male,jordan,jordan,lowerschool,g-04,b,science,first,father,25,29,34,33,no,good,high,pass
male,jordan,jordan,lowerschool,g-04,b,science,second,father,42,34,29,39,no,good,high,pass
female,jordan,jordan,lowerschool,g-04,b,science,first,mum,55,79,44,43,yes,good,low,pass
female,jordan,jordan,lowerschool,g-04,b,science,second,mum,62,64,69,49,yes,good,low,pass
female,jordan,lebanon,lowerschool,g-04,b,science,first,mum,78,88,74,83,yes,good,low,pass
female,jordan,lebanon,lowerschool,g-04,b,science,second,mum,72,84,89,89,yes,good,low,pass
male,jordan,jordan,lowerschool,g-02,a,french,first,mum,60,92,83,23,yes,good,low,pass
male,jordan,jordan,lowerschool,g-02,a,french,second,mum,50,90,83,13,yes,good,low,pass
female,jordan,jordan,lowerschool,g-02,a,french,first,mum,60,97,13,3,yes,good,low,pass
female,jordan,jordan,lowerschool,g-02,a,french,second,mum,50,95,23,10,yes,good,low,pass
female,jordan,jordan,lowerschool,g-02,a,french,first,mum,60,87,23,11,yes,good,high,pass
female,jordan,jordan,lowerschool,g-02,a,french,second,mum,50,80,20,15,yes,good,high,pass
male,jordan,jordan,lowerschool,g-02,a,french,first,father,10,15,10,21,no,bad,high,fail
male,jordan,jordan,lowerschool,g-02,a,french,second,father,30,10,20,5,no,bad,high,fail
male,syria,syria,lowerschool,g-02,a,french,first,father,24,35,18,31,no,bad,low,pass
male,syria,syria,lowerschool,g-02,a,french,second,father,27,20,33,35,no,bad,low,pass
female,jordan,palestine,lowerschool,g-02,a,french,first,mum,80,77,63,83,yes,good,low,pass
female,jordan,palestine,lowerschool,g-02,a,french,second,mum,75,85,73,80,yes,good,low,pass
male,jordan,jordan,lowerschool,g-02,a,french,first,father,40,7,50,41,no,good,high,fail
male,jordan,jordan,lowerschool,g-02,a,french,second,father,35,2,29,33,no,good,high,fail
female,jordan,jordan,lowerschool,g-02,a,french,first,mum,10,90,30,21,no,good,low,pass
female,jordan,jordan,lowerschool,g-02,a,french,second,mum,25,80,29,23,no,good,low,pass
male,lybia,lybia,lowerschool,g-02,a,french,first,mum,10,8,9,3,no,good,high,fail
male,lybia,lybia,lowerschool,g-02,a,french,second,mum,15,7,12,7,no,good,high,fail
female,palestine,jordan,lowerschool,g-02,a,french,first,mum,70,90,20,21,no,good,low,pass
female,palestine,jordan,lowerschool,g-02,a,french,second,mum,75,80,15,20,no,good,low,pass
female,palestine,jordan,lowerschool,g-02,b,french,first,father,78,98,10,11,no,good,low,pass
female,palestine,jordan,lowerschool,g-02,b,french,second,father,79,89,11,14,no,good,low,pass
female,iraq,iraq,lowerschool,g-02,b,french,first,father,16,90,15,11,no,good,low,pass
female,iraq,iraq,lowerschool,g-02,b,french,second,father,17,80,13,10,no,good,low,pass
male,jordan,jordan,lowerschool,g-02,b,french,first,mum,40,87,50,41,no,bad,low,pass
male,jordan,jordan,lowerschool,g-02,b,french,second,mum,35,92,29,33,no,bad,low,pass
female,jordan,jordan,lowerschool,g-02,b,french,first,mum,14,97,15,14,no,good,low,pass
female,jordan,jordan,lowerschool,g-02,b,french,first,mum,13,82,20,30,no,good,low,pass
female,jordan,jordan,lowerschool,g-02,b,french,second,mum,24,97,15,14,no,good,low,pass
female,jordan,jordan,lowerschool,g-02,b,french,second,mum,23,82,20,30,no,good,low,pass
male,lybia,lybia,lowerschool,g-02,b,french,first,mum,20,3,9,3,no,good,high,fail
male,lybia,lybia,lowerschool,g-02,b,french,second,mum,15,4,12,7,no,good,high,fail
male,egypt,egypt,lowerschool,g-02,b,french,first,mum,5,13,6,6,no,good,high,fail
male,egypt,egypt,lowerschool,g-02,b,french,second,mum,7,9,11,10,no,good,high,fail
female,jordan,jordan,lowerschool,g-02,b,french,first,mum,10,94,40,11,yes,good,low,pass
female,jordan,jordan,lowerschool,g-02,b,french,second,mum,25,89,21,13,yes,good,low,pass
male,jordan,jordan,lowerschool,g-02,b,french,first,mum,30,98,42,21,yes,good,low,pass
male,jordan,jordan,lowerschool,g-02,b,french,second,mum,35,97,41,23,yes,good,low,pass
male,jordan,jordan,lowerschool,g-02,b,french,first,father,32,88,32,25,yes,good,low,pass
male,jordan,jordan,lowerschool,g-02,b,french,second,father,25,87,21,27,yes,good,low,pass
female,lebanon,lebanon,lowerschool,g-02,b,french,first,mum,72,98,52,15,yes,good,low,pass
female,lebanon,lebanon,lowerschool,g-02,b,french,second,mum,75,90,51,17,yes,good,low,pass
male,jordan,jordan,lowerschool,g-02,a,arabic,first,father,20,88,31,28,yes,good,high,pass
male,jordan,jordan,lowerschool,g-02,a,arabic,second,father,10,98,41,38,yes,good,high,pass
male,palestine,jordan,lowerschool,g-02,a,arabic,first,father,90,98,41,38,yes,good,low,pass
male,palestine,jordan,lowerschool,g-02,a,arabic,second,father,80,88,51,39,yes,good,low,pass
male,iraq,iraq,lowerschool,g-02,a,arabic,first,father,80,95,21,28,yes,good,low,pass
male,iraq,iraq,lowerschool,g-02,a,arabic,second,father,78,70,31,29,yes,good,low,pass
male,jordan,jordan,lowerschool,g-02,a,arabic,first,father,10,18,71,38,yes,good,high,pass
male,jordan,jordan,lowerschool,g-02,a,arabic,second,father,10,58,51,48,yes,good,high,pass
female,palestine,jordan,lowerschool,g-02,a,arabic,first,mum,98,88,60,31,no,good,low,pass
female,palestine,jordan,lowerschool,g-02,a,arabic,second,mum,75,81,51,34,no,good,low,pass
male,jordan,jordan,lowerschool,g-02,a,arabic,first,father,10,17,50,21,no,bad,low,pass
male,jordan,jordan,lowerschool,g-02,a,arabic,second,father,35,2,29,23,no,bad,low,pass
female,jordan,jordan,lowerschool,g-02,a,arabic,first,father,10,20,22,97,no,bad,high,fail
female,jordan,jordan,lowerschool,g-02,a,arabic,second,father,5,9,19,98,no,bad,high,fail
male,jordan,jordan,lowerschool,g-02,b,arabic,first,father,10,10,40,51,no,bad,high,fail
male,jordan,jordan,lowerschool,g-02,b,arabic,second,father,35,2,29,23,no,bad,high,fail
male,jordan,jordan,lowerschool,g-02,b,arabic,first,mum,20,90,50,61,yes,bad,high,pass
male,jordan,jordan,lowerschool,g-02,b,arabic,second,mum,32,82,59,63,yes,bad,high,pass
male,jordan,jordan,lowerschool,g-02,b,arabic,first,father,10,30,50,91,yes,bad,high,fail
male,jordan,jordan,lowerschool,g-02,b,arabic,second,father,12,22,59,83,yes,bad,high,fail
female,jordan,jordan,lowerschool,g-02,b,arabic,first,father,11,20,20,98,no,bad,high,fail
female,jordan,jordan,lowerschool,g-02,b,arabic,second,father,10,12,29,93,no,bad,high,fail
male,iraq,iraq,lowerschool,g-02,b,arabic,first,mum,69,82,20,28,yes,good,low,pass
male,iraq,iraq,lowerschool,g-02,b,arabic,second,mum,70,83,29,33,yes,good,low,pass
female,iraq,iraq,lowerschool,g-02,b,arabic,first,mum,89,92,40,28,yes,good,low,pass
female,iraq,iraq,lowerschool,g-02,b,arabic,second,mum,79,93,49,23,yes,good,low,pass
male,jordan,jordan,lowerschool,g-02,b,arabic,first,mum,15,90,21,97,yes,good,low,pass
male,jordan,jordan,lowerschool,g-02,b,arabic,second,mum,20,77,31,88,yes,good,low,pass
male,jordan,saudiarabia,lowerschool,g-02,b,arabic,first,mum,4,10,11,7,no,good,high,fail
male,jordan,saudiarabia,lowerschool,g-02,b,arabic,second,mum,5,0,1,8,no,good,high,fail
female,jordan,jordan,middleschool,g-07,a,biology,first,mum,88,81,50,10,yes,good,high,pass
female,jordan,jordan,middleschool,g-07,a,biology,second,mum,90,88,54,12,yes,good,high,pass
female,iraq,iraq,middleschool,g-07,a,biology,first,mum,86,98,50,20,yes,good,low,pass
female,iraq,iraq,middleschool,g-07,a,biology,second,mum,90,90,57,22,yes,good,low,pass
male,jordan,palestine,middleschool,g-07,a,biology,first,mum,78,91,50,40,yes,good,low,pass
male,jordan,palestine,middleschool,g-07,a,biology,second,mum,70,98,54,72,yes,good,low,pass
male,jordan,jordan,middleschool,g-07,a,biology,first,father,80,80,46,61,yes,bad,low,pass
male,jordan,jordan,middleschool,g-07,a,biology,second,father,85,82,59,63,yes,bad,low,pass
male,palestine,palestine,middleschool,g-07,a,biology,first,father,88,90,86,81,yes,good,low,pass
male,palestine,palestine,middleschool,g-07,a,biology,second,father,89,92,89,83,yes,good,low,pass
male,jordan,jordan,middleschool,g-07,a,biology,first,father,39,71,40,26,no,good,high,pass
male,jordan,jordan,middleschool,g-07,a,biology,second,father,35,80,34,22,no,good,high,pass
male,jordan,jordan,middleschool,g-07,a,biology,first,father,76,81,80,86,no,good,low,pass
male,jordan,jordan,middleschool,g-07,a,biology,second,father,65,89,64,82,no,good,low,pass
female,syria,syria,middleschool,g-07,a,biology,first,mum,96,95,70,70,yes,good,low,pass
female,syria,syria,middleschool,g-07,a,biology,second,mum,80,91,87,72,yes,good,low,pass
male,jordan,jordan,middleschool,g-07,a,biology,first,mum,2,9,10,1,no,bad,high,fail
male,jordan,jordan,middleschool,g-07,a,biology,second,mum,3,8,19,3,no,bad,high,fail
male,jordan,jordan,middleschool,g-07,b,biology,first,father,50,79,10,31,no,bad,low,pass
male,jordan,jordan,middleschool,g-07,b,biology,second,father,53,88,9,33,no,bad,low,pass
female,jordan,jordan,middleschool,g-07,b,biology,first,mum,70,89,12,21,no,good,low,pass
female,jordan,jordan,middleschool,g-07,b,biology,second,mum,59,90,19,43,no,good,low,pass
male,palestine,jordan,middleschool,g-07,b,biology,first,father,78,80,66,51,yes,good,low,pass
male,palestine,jordan,middleschool,g-07,b,biology,second,father,79,72,79,83,yes,good,low,pass
female,lybia,lybia,middleschool,g-07,b,biology,first,mum,10,9,2,1,no,good,high,fail
female,lybia,lybia,middleschool,g-07,b,biology,second,mum,9,7,9,3,no,good,high,fail
male,iraq,iraq,middleschool,g-07,b,biology,first,father,98,90,86,71,yes,good,low,pass
male,iraq,iraq,middleschool,g-07,b,biology,second,father,89,92,89,83,yes,good,low,pass
male,palestine,jordan,middleschool,g-07,b,biology,first,father,88,90,76,81,yes,good,low,pass
male,palestine,jordan,middleschool,g-07,b,biology,second,father,99,96,89,84,yes,good,low,pass
female,jordan,jordan,middleschool,g-08,a,chemistry,first,mum,82,89,22,31,yes,good,low,pass
female,jordan,jordan,middleschool,g-08,a,chemistry,second,mum,84,92,29,43,yes,good,low,pass
female,jordan,jordan,middleschool,g-08,a,geology,first,mum,70,69,46,45,yes,good,high,pass
female,jordan,jordan,middleschool,g-08,a,geology,second,mum,74,62,49,43,yes,good,high,pass
female,jordan,jordan,middleschool,g-08,a,geology,first,mum,90,79,76,79,yes,good,low,pass
female,jordan,jordan,middleschool,g-08,a,geology,second,mum,84,77,79,68,yes,good,low,pass
male,jordan,jordan,middleschool,g-08,a,chemistry,first,mum,80,80,62,11,yes,good,high,pass
male,jordan,jordan,middleschool,g-08,a,chemistry,second,mum,81,82,69,13,yes,good,high,pass
male,jordan,saudiarabia,middleschool,g-08,a,chemistry,first,father,10,0,2,41,no,bad,high,fail
male,jordan,saudiarabia,middleschool,g-08,a,chemistry,second,father,11,2,9,49,no,bad,high,fail
male,jordan,saudiarabia,middleschool,g-08,a,geology,first,father,85,89,22,61,no,bad,low,pass
male,jordan,saudiarabia,middleschool,g-08,a,geology,second,father,80,89,23,68,no,bad,low,pass
male,jordan,saudiarabia,middleschool,g-08,a,geology,first,father,95,87,62,81,no,bad,low,pass
male,jordan,saudiarabia,middleschool,g-08,a,geology,second,father,87,79,73,98,no,bad,low,pass
male,jordan,jordan,middleschool,g-08,a,chemistry,first,mum,85,87,72,10,yes,good,high,pass
male,jordan,jordan,middleschool,g-08,a,chemistry,second,mum,79,88,79,20,yes,good,high,pass
male,jordan,jordan,middleschool,g-08,a,geology,first,mum,80,81,71,30,yes,good,low,pass
male,jordan,jordan,middleschool,g-08,a,geology,second,mum,70,83,70,23,yes,good,low,pass
male,jordan,jordan,middleschool,g-08,a,chemistry,first,mum,80,82,76,19,yes,good,low,pass
male,jordan,jordan,middleschool,g-08,a,chemistry,second,mum,70,82,75,29,yes,good,low,pass
male,jordan,jordan,middleschool,g-08,a,geology,first,mum,89,87,86,15,yes,good,low,pass
male,jordan,jordan,middleschool,g-08,a,geology,second,mum,90,86,85,10,yes,good,low,pass
male,jordan,jordan,middleschool,g-08,a,history,first,mum,69,77,76,75,yes,good,high,pass
male,jordan,jordan,middleschool,g-08,a,history,second,mum,70,76,65,70,yes,good,high,pass
male,jordan,jordan,middleschool,g-08,a,chemistry,first,mum,75,72,64,39,yes,good,high,fail
male,jordan,jordan,middleschool,g-08,a,chemistry,second,mum,72,76,66,40,yes,good,high,fail
male,jordan,jordan,middleschool,g-08,a,geology,first,mum,77,82,74,79,yes,good,low,pass
male,jordan,jordan,middleschool,g-08,a,geology,second,mum,71,84,67,80,yes,good,low,pass
male,jordan,jordan,middleschool,g-08,a,history,first,mum,87,92,74,89,yes,good,low,pass
male,jordan,jordan,middleschool,g-08,a,history,second,mum,81,84,77,85,yes,good,low,pass
female,jordan,jordan,middleschool,g-08,a,chemistry,first,father,15,97,22,10,yes,good,low,pass
female,jordan,jordan,middleschool,g-08,a,chemistry,second,father,19,98,20,2,yes,good,low,pass
female,jordan,jordan,middleschool,g-08,a,geology,first,father,25,82,52,20,yes,good,high,pass
female,jordan,jordan,middleschool,g-08,a,geology,second,father,29,78,40,12,yes,good,high,pass
female,jordan,jordan,middleschool,g-08,a,history,first,father,45,87,57,80,yes,good,low,pass
female,jordan,jordan,middleschool,g-08,a,history,second,father,39,88,43,72,yes,good,low,pass
female,jordan,jordan,middleschool,g-08,a,chemistry,first,father,85,90,52,30,yes,good,low,pass
female,jordan,jordan,middleschool,g-08,a,chemistry,second,father,79,91,49,22,yes,good,low,pass
male,iraq,iraq,middleschool,g-08,a,chemistry,first,father,90,91,80,81,yes,good,low,pass
male,iraq,iraq,middleschool,g-08,a,chemistry,second,father,80,90,80,83,yes,good,low,pass
male,iraq,iraq,middleschool,g-08,a,geology,first,father,80,83,82,71,yes,good,high,pass
male,iraq,iraq,middleschool,g-08,a,geology,second,father,71,81,83,72,yes,good,high,pass
male,iraq,iraq,middleschool,g-08,a,history,first,father,72,87,72,89,yes,good,high,pass
male,iraq,iraq,middleschool,g-08,a,history,second,father,69,77,83,92,yes,good,high,pass
female,jordan,jordan,middleschool,g-08,a,chemistry,first,mum,85,99,42,90,yes,good,low,pass
female,jordan,jordan,middleschool,g-08,a,chemistry,second,mum,89,96,45,92,yes,good,low,pass
female,jordan,jordan,middleschool,g-08,a,geology,first,mum,80,82,64,58,yes,good,low,pass
female,jordan,jordan,middleschool,g-08,a,geology,second,mum,87,93,63,60,yes,good,low,pass
female,jordan,jordan,middleschool,g-08,a,chemistry,first,father,15,9,14,80,no,bad,high,fail
female,jordan,jordan,middleschool,g-08,a,chemistry,second,father,9,6,15,85,no,bad,high,fail
male,palestine,jordan,middleschool,g-08,a,history,first,father,81,86,86,41,yes,good,low,pass
male,palestine,jordan,middleschool,g-08,a,history,second,father,78,82,78,53,yes,good,low,pass
male,palestine,palestine,middleschool,g-08,a,geology,first,father,80,87,74,68,yes,good,low,pass
male,palestine,palestine,middleschool,g-08,a,geology,second,father,85,88,79,70,yes,good,low,pass
female,jordan,jordan,middleschool,g-08,a,chemistry,first,father,2,7,4,8,no,bad,high,fail
female,jordan,jordan,middleschool,g-08,a,chemistry,second,father,5,4,5,8,no,bad,high,fail
female,jordan,jordan,middleschool,g-08,a,geology,first,father,50,77,14,28,no,bad,low,pass
female,jordan,jordan,middleschool,g-08,a,geology,second,father,55,74,25,29,no,bad,low,pass
female,jordan,jordan,middleschool,g-08,a,history,first,father,30,17,14,57,no,bad,high,fail
female,jordan,jordan,middleschool,g-08,a,history,second,father,35,14,23,62,no,bad,high,fail
